Document Name,Title,Web Link
evidence-standards-framework-for-digital-health-technologies-user-guide-pdf-11696158815685.pdf,Evidence Standards Framework for Digital Health Technologies: User Guide,https://nhs.sharepoint.com/:b:/r/sites/X26_Digital_Prevention_Service/Shared%20Documents/DPSP%20Digital%20Diagnostics%20%26%20Digital%20Therapeutics/01.%20Feasibility%20assessment/2.%20Secondary%20Research/evidence-standards-framework-for-digital-health-technologies-user-guide-pdf-11696158815685.pdf?csf=1&web=1&e=jGFGsg
evidence-standards-framework-for-digital-health-technologies-pdf-1124017457605.pdf,Evidence Standards Framework for Digital Health Technologies,https://nhs.sharepoint.com/:b:/r/sites/X26_Digital_Prevention_Service/Shared%20Documents/DPSP%20Digital%20Diagnostics%20%26%20Digital%20Therapeutics/01.%20Feasibility%20assessment/2.%20Secondary%20Research/evidence-standards-framework-for-digital-health-technologies-pdf-1124017457605.pdf?csf=1&web=1&e=7mCGJX
Accenture-UK-Digital-Adoption-Healthcare-2021.pdf,Putting People at the Heart of Digital Healthcare,https://nhs.sharepoint.com/:b:/r/sites/X26_Digital_Prevention_Service/Shared%20Documents/DPSP%20Digital%20Diagnostics%20%26%20Digital%20Therapeutics/01.%20Feasibility%20assessment/2.%20Secondary%20Research/Accenture-UK-Digital-Adoption-Healthcare-2021.pdf?csf=1&web=1&e=sPm1BZ
nhs-long-term-plan-version-1.2.pdf,The NHS Long Term Plan,https://nhs.sharepoint.com/:b:/r/sites/X26_Digital_Prevention_Service/Shared%20Documents/DPSP%20Digital%20Diagnostics%20%26%20Digital%20Therapeutics/01.%20Feasibility%20assessment/2.%20Secondary%20Research/nhs-long-term-plan-version-1.2.pdf?csf=1&web=1&e=5gQGL5
iqi-report-digital-health-2024-12-24-forweb 1.pdf,Digital Health Trends 2024: Implications for Research and Patient Care,https://nhs.sharepoint.com/:b:/r/sites/X26_Digital_Prevention_Service/Shared%20Documents/DPSP%20Digital%20Diagnostics%20%26%20Digital%20Therapeutics/01.%20Feasibility%20assessment/2.%20Secondary%20Research/iqi-report-digital-health-2024-12-24-forweb%201.pdf?csf=1&web=1&e=aWHwQ9
accenture-digital-health-technology-vision-2022.pdf,Accenture Digital Health Technology Vision 2022,https://nhs.sharepoint.com/:b:/r/sites/X26_Digital_Prevention_Service/Shared%20Documents/DPSP%20Digital%20Diagnostics%20%26%20Digital%20Therapeutics/01.%20Feasibility%20assessment/2.%20Secondary%20Research/accenture-digital-health-technology-vision-2022.pdf?csf=1&web=1&e=BXz11y
gx-health-care-outlook-2023-report-consolidated.pdf,2023 Global Health Care Outlook,https://nhs.sharepoint.com/:b:/r/sites/X26_Digital_Prevention_Service/Shared%20Documents/DPSP%20Digital%20Diagnostics%20%26%20Digital%20Therapeutics/01.%20Feasibility%20assessment/2.%20Secondary%20Research/gx-health-care-outlook-2023-report-consolidated.pdf?csf=1&web=1&e=Bvqmyj
scaling-national-e-health-best-practices-from-around-the-world-vf.pdf,Scaling National e-Health: Best Practices from Around the World,https://nhs.sharepoint.com/:b:/r/sites/X26_Digital_Prevention_Service/Shared%20Documents/DPSP%20Digital%20Diagnostics%20%26%20Digital%20Therapeutics/01.%20Feasibility%20assessment/2.%20Secondary%20Research/scaling-national-e-health-best-practices-from-around-the-world-vf.pdf?csf=1&web=1&e=ZWy7p2
reforming-elective-care-for-patients.pdf,Reforming Elective Care for Patients,https://nhs.sharepoint.com/:b:/r/sites/X26_Digital_Prevention_Service/Shared%20Documents/DPSP%20Digital%20Diagnostics%20%26%20Digital%20Therapeutics/01.%20Feasibility%20assessment/2.%20Secondary%20Research/reforming-elective-care-for-patients.pdf?csf=1&web=1&e=x5RsLk
PwC-transforming-Healthcare-technology.pdf,Transforming Healthcare through Technology,https://nhs.sharepoint.com/:b:/r/sites/X26_Digital_Prevention_Service/Shared%20Documents/DPSP%20Digital%20Diagnostics%20%26%20Digital%20Therapeutics/01.%20Feasibility%20assessment/2.%20Secondary%20Research/PwC-transforming-Healthcare-technology.pdf?csf=1&web=1&e=DxmFxb
